pubid,ctuition17,state17,female,black,hisp,yr97,yr98,yr99,yr00,yr01,mhighgrad,msomcol,fhighgrad,fsomcol,parincome,afqt,dayssmklm17,pct_insclnxtyr
4657,1.971347928,85,1,1,0,0,0,1,0,0,1,0,1,0,24.41573715,1.735000014,0,
4582,2.040618896,85,0,0,0,0,0,0,0,1,0,1,0,1,70.7245636,78.97299957,0,
2123,1.927117229,85,0,0,0,0,1,0,0,0,0,1,1,0,106.5766373,68.13600159,0,
4581,1.971347928,85,1,0,0,0,0,1,0,0,0,1,0,1,74.28068542,56.51300049,0,
4649,1.927117229,85,1,0,0,0,1,0,0,0,0,1,0,1,6.885496616,87.75299835,0,
8707,1.927117229,85,0,1,0,0,1,0,0,0,0,1,0,1,69.75925446,60.77799988,0,
4623,2.040618896,85,0,0,0,0,0,0,0,1,0,1,0,1,24.78778648,37.23899841,0,
4640,1.927117229,85,0,0,0,0,1,0,0,0,0,1,1,0,0.870064795,18.40699959,0,
4594,2.040618896,85,1,0,0,0,0,0,0,1,0,1,0,1,120.5284882,13.81999969,0,
4579,1.927117229,85,1,0,0,0,1,0,0,0,1,0,1,0,19.50675392,40.60499954,0,
2147,1.927117229,85,0,0,0,0,1,0,0,0,0,1,0,1,74.60364532,92.47599792,2,
2146,1.975870728,85,1,0,0,0,0,0,1,0,0,1,0,1,318.40448,94.70800018,0,100
4618,1.975870728,85,1,0,0,0,0,0,1,0,1,0,0,1,64.59190369,59.06200027,0,99
4629,1.927117229,85,0,0,0,0,1,0,0,0,0,1,0,1,60.13505936,97.78399658,0,
2128,1.971347928,85,0,0,0,0,0,1,0,0,1,0,0,1,127.8919601,27.34900093,0,
4597,1.971347928,85,1,0,0,0,0,1,0,0,0,1,0,1,112.5268478,63.4640007,2,
4590,1.975870728,85,1,0,0,0,0,0,1,0,0,1,1,0,97.79859924,67.67299652,0,100
4642,2.040618896,85,0,0,0,0,0,0,0,1,0,1,0,1,74.99119568,68.28700256,0,
4666,1.971347928,85,0,0,0,0,0,1,0,0,0,0,0,1,30.52858925,49.51499939,0,
6441,1.975870728,85,0,0,0,0,0,0,1,0,0,1,1,0,87.84498596,81.78500366,30,85
4654,1.971347928,85,0,1,0,0,0,1,0,0,1,0,0,0,24.05919266,31.38800049,0,
4603,1.975870728,85,1,0,0,0,0,0,1,0,0,1,0,1,19.04169273,60.11999893,25,75
2153,1.971347928,85,1,0,0,0,0,1,0,0,0,1,1,0,13.43511486,43.8409996,0,
4599,1.975870728,85,1,0,0,0,0,0,1,0,1,0,1,0,0,94.61599731,1,0
4648,2.040618896,85,1,0,0,0,0,0,0,1,0,1,0,1,148.8268738,68.22299957,30,
2132,2.040618896,85,1,0,0,0,0,0,0,1,0,1,1,0,96.67386627,37.71900177,0,
4607,2.040618896,85,1,0,0,0,0,0,0,1,1,0,1,0,19.24709511,28.24699974,30,
4630,2.040618896,85,1,0,0,0,0,0,0,1,0,1,0,1,60.13505936,74.71099854,1,
4644,2.040618896,85,0,0,0,0,0,0,0,1,0,1,0,1,36.17146301,88.35700226,0,
2130,2.040618896,85,0,0,0,0,0,0,0,1,0,1,1,0,57.50229645,91.33699799,0,
4598,1.975870728,85,1,0,0,0,0,0,1,0,0,1,0,1,112.5268478,40.81499863,0,70
4621,1.975870728,85,1,1,0,0,0,0,1,0,0,1,0,1,77.1485672,39.83300018,5,15
2133,1.971347928,85,1,0,0,0,0,1,0,0,1,0,0,1,127.2024536,93.62999725,0,
4647,1.971347928,85,1,0,0,0,0,1,0,0,0,1,0,1,148.8268738,78.11699677,0,
565,0.41069749,38,0,0,1,0,0,1,0,0,1,0,1,0,104.4332123,51.46500015,0,
4615,1.971347928,85,0,0,0,0,0,1,0,0,0,1,0,1,94.04581451,68.1969986,30,
4614,1.927117229,85,0,0,1,0,1,0,0,0,0,0,0,0,58.1327095,75.77600098,30,
2135,2.040618896,85,1,1,0,0,0,0,0,1,0,0,1,0,21.96124649,22.38800049,0,
4610,1.971347928,85,1,0,0,0,0,1,0,0,0,1,0,1,114.4822083,83.71299744,0,
4617,1.927117229,85,0,0,0,0,1,0,0,0,1,0,0,1,64.59190369,44.81600189,0,
2141,2.040618896,85,0,0,0,0,0,0,0,1,1,0,0,1,60.99025726,53.13700104,0,
5534,3.066196918,87,1,0,0,0,0,0,0,1,1,0,1,0,27.12859726,35.38899994,30,
2608,3.066196918,87,0,0,0,0,0,0,0,1,1,0,1,0,53.4549675,47.84799957,12,
2576,2.953571558,87,0,0,0,0,0,0,1,0,0,1,0,1,81.66397095,78.65599823,0,70
5548,2.915480137,87,1,0,0,0,1,0,0,0,0,0,0,0,54.90311432,23.99399948,30,
2626,2.915480137,87,1,0,0,0,1,0,0,0,1,0,1,0,53.74045944,72.39900208,0,
2597,2.953571558,87,0,0,0,0,0,0,1,0,0,1,0,0,63.60122681,71.09100342,0,100
2623,3.066196918,87,0,0,0,0,0,0,0,1,0,1,1,0,45.86024857,32.66999817,30,
2571,3.066196918,87,1,0,0,0,0,0,0,1,1,0,1,0,81.38579559,31.84199905,0,
2622,2.915480137,87,0,0,0,0,1,0,0,0,0,1,1,0,45.86024857,46.53499985,30,
5503,3.046628475,87,1,0,0,0,0,1,0,0,1,0,0,0,14.85613728,73.45700073,2,
2586,3.066196918,87,1,0,0,0,0,0,0,1,0,0,1,0,38.94116211,28.71800041,0,
5538,3.046628475,87,0,0,0,0,0,1,0,0,1,0,1,0,72.62713623,42.38000107,0,
2615,2.915480137,87,0,0,0,0,1,0,0,0,1,0,0,1,42.63065338,74.65599823,0,
5500,3.066196918,87,0,0,0,0,0,0,0,1,0,1,1,0,73.63476563,56.97999954,0,
8724,2.915480137,87,0,1,0,0,1,0,0,0,0,1,0,1,27.90111732,46.98199844,0,
5525,2.953571558,87,0,0,0,0,0,0,1,0,1,0,1,0,21.31532669,41.18500137,25,100
8725,3.066196918,87,1,1,0,0,0,0,0,1,0,1,0,1,27.90111732,19.94000053,0,
2610,3.046628475,87,1,0,0,0,0,1,0,0,0,1,0,1,58.4932785,58.06499863,6,
2582,3.046628475,87,1,0,0,0,0,1,0,0,1,0,1,0,64.97945404,46.70299911,3,
2598,2.915480137,87,0,0,0,0,1,0,0,0,0,1,0,1,83.95362091,67.62200165,0,
2614,2.953571558,87,0,0,0,0,0,0,1,0,1,0,0,1,36.75279236,90.53199768,25,100
5529,3.066196918,87,0,0,0,0,0,0,0,1,1,0,1,0,48.0563736,33.20000076,30,
5553,2.953571558,87,0,0,0,0,0,0,1,0,0,0,0,0,71.18027496,65.93699646,0,0
2616,2.915480137,87,0,0,0,0,1,0,0,0,0,1,0,1,125.6760254,99.61000061,0,
8716,2.953571558,87,1,1,0,0,0,0,1,0,0,1,0,1,113.846199,47.34500122,0,100
2607,2.915480137,87,1,0,0,0,1,0,0,0,1,0,1,0,53.4549675,63.86800003,0,
2567,2.747739553,87,1,0,0,1,0,0,0,0,1,0,0,1,77.63946533,74.58399963,20,98
